date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:05	105928/105928	---M-Z	200	added ('OK')	text/html	etag:%221668027336-gzip%22	https://engineering.purdue.edu/online/programs/masters-degrees/aeronautics-astronautics	C:/My%20Web%20Sites/vin30/engineering.purdue.edu/online/programs/masters-degrees/aeronautics-astronautics.html	(from )
21:45:12	272/272	---M-Z	200	added ('OK')	text/plain	date:Fri,%2011%20Nov%202022%2016:15:12%20GMT	https://engineering.purdue.edu/robots.txt		(from )
21:45:37	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/vin30/www.google-analytics.com/analytics.js	(from https://engineering.purdue.edu/online/programs/masters-degrees/aeronautics-astronautics)
21:45:51	10433/10433	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2011%20Nov%202022%2016:15:51%20GMT	https://track.gaconnector.com/gaconnector.js	C:/My%20Web%20Sites/vin30/track.gaconnector.com/gaconnector.js	(from https://engineering.purdue.edu/online/programs/masters-degrees/aeronautics-astronautics)
21:45:54	348/348	---M-Z	200	added ('OK')	application/javascript	etag:%2215c-5e8911f1de89d-gzip%22	https://engineering.purdue.edu/online/sites/default/files/google_tag/primary/google_tag.script.js?ri5ohw	C:/My%20Web%20Sites/vin30/engineering.purdue.edu/online/sites/default/files/google_tag/primary/google_tag.script6a9b.js	(from https://engineering.purdue.edu/online/programs/masters-degrees/aeronautics-astronautics)
21:45:55	246825/246825	---M-Z	200	added ('OK')	text/css	etag:%229255-5e8912023f4a8%22	https://engineering.purdue.edu/online/sites/default/files/css/css_yxusRgZG6zUxY79eQmxhZ9DJ_bsW5migrQq1bB88hZw.css	C:/My%20Web%20Sites/vin30/engineering.purdue.edu/online/sites/default/files/css/css_yxusRgZG6zUxY79eQmxhZ9DJ_bsW5migrQq1bB88hZw.css	(from https://engineering.purdue.edu/online/programs/masters-degrees/aeronautics-astronautics)
21:45:56	2306/2306	---M-Z	200	added ('OK')	text/css	etag:%22902-59cd33a516a80-gzip%22	https://www.purdue.edu/purdue/fonts/united-sans/united-sans.css	C:/My%20Web%20Sites/vin30/www.purdue.edu/purdue/fonts/united-sans/united-sans.css	(from https://engineering.purdue.edu/online/programs/masters-degrees/aeronautics-astronautics)
21:45:57	60154/60154	---M-Z	200	added ('OK')	text/css	date:Fri,%2011%20Nov%202022%2016:15:57%20GMT	https://use.typekit.net/ghc8hdz.css	C:/My%20Web%20Sites/vin30/use.typekit.net/ghc8hdz.css	(from https://engineering.purdue.edu/online/programs/masters-degrees/aeronautics-astronautics)
21:45:57	164289/164289	---M-Z	200	added ('OK')	text/css	etag:%2268f7-5e891202498b9%22	https://engineering.purdue.edu/online/sites/default/files/css/css_gPAXLOZyaziCPKm-2qbRzhNf7IcslnGbAzVlE9LgfXA.css	C:/My%20Web%20Sites/vin30/engineering.purdue.edu/online/sites/default/files/css/css_gPAXLOZyaziCPKm-2qbRzhNf7IcslnGbAzVlE9LgfXA.css	(from https://engineering.purdue.edu/online/programs/masters-degrees/aeronautics-astronautics)
21:45:59	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:%2215d84-5af6c7b267540-gzip%22	https://engineering.purdue.edu/online/core/assets/vendor/jquery/jquery.min.js?v=3.5.1	C:/My%20Web%20Sites/vin30/engineering.purdue.edu/online/core/assets/vendor/jquery/jquery.minc011.js	(from https://engineering.purdue.edu/online/programs/masters-degrees/aeronautics-astronautics)
